conspect1,conspect2,conspect3,conspectus_name
0,0,3,Systémy psaní a písma. Sémiotika (obecně)
0,0,4,Počítačová věda. Výpočetní technika. Informační technologie
0,0,5,Management. Řízení
0,0,6,Metrologie. Standardizace
0,0,7,Teorie systémů. Automatické systémy. Informační systémy. Kybernetika
0,0,,Věda. Všeobecnosti. Základy vědy a kultury. Vědecká práce
0,1,,Bibliografie. Katalogy
0,2,2,Budovy
0,2,2,Budovy
0,2,3,Řízení knihoven
0,2,4,Služby knihoven
0,2,5,Organizace knihoven a knihovních fondů
0,2,6,Odborné/speciální knihovny
0,2,7,Univerzální knihovny. Veřejné knihovny. Soukromé knihovny
0,2,8,Čtení. Četba
0,2,,Knihovnictví. Informatika
0,3,0,Všeobecná příručková díla
0,5,0,Seriálové publikace. Periodika
0,6,9,Muzea. Muzeologie. Muzejnictví. Výstavy
0,6,,Organizace všeobecné povahy
0,7,0,Noviny. Tisk. Žurnalistika
0,8,,Souborná díla
0,9,3,Prvotisky
0,9,4,Staré tisky
0,9,,Rukopisy
0,9,,"Rukopisy, prvotisky, staré tisky. Vzácná a pozoruhodná díla"
1,0,1,Filozofie
1,1,,Metafyzika
1,3,3,Ezoterismus. Okultismus
1,3,,Filozofie ducha
1,4,,Filozofické systémy a hlediska
1,6,5,Teorie poznání. Epistemologie
1,6,,Logika
1,7,,Etika. Morální filozofie
2,1,,Prehistorická a primitivní náboženství
2,5,,Náboženství
2,5,,"Náboženství, mytologie, kulty"
2,6,,Judaismus
2,7,,Křesťanství. Křesťanská církev všeobecně. Eklesiologie
2,8,,Islám
2,9,,Moderní duchovní hnutí
2,,,Náboženství
8,,,Literatura
3,0,0,Společenské vědy
3,0,4,Kulturní politika
3,0,6,Kultura a instituce
3,0,8,Sociografie
3,1,1,Statistika
3,1,4,Demografie. Populace
3,1,6,Sociologie
3,2,1,Politologie
3,2,2,Politika a náboženství. Vztahy mezi církví a státem
3,2,6,Otroctví
3,2,8,Zastupitelské orgány. Vlády. Politické systémy jednotlivých zemí
3,2,9,Politické strany a hnutí
3,2,,Politika
3,3,1,Práce
3,3,4,Formy organizace a spolupráce v ekonomice
3,3,8,Hospodářská a výrobní odvětví
3,3,9,Obchod
3,3,,Ekonomie
3,4,1,Mezinárodní právo
3,4,2,Ústavní právo. Správní právo
3,4,3,Trestní právo
3,4,4,Vojenské trestní právo
3,4,6,Hospodářské právo
3,4,7,Soukromé právo
3,4,,Právo
3,5,6,Vojenská služba. Pěchota
5,0,,Obecné informace o přírodních vědách a matematice
3,5,7,Motorizované jednotky. Jezdectvo
3,5,8,Vojenské letectvo. Dělostřelectvo. Ženijní jednotky. Technické služby armády. Chemické vojsko
3,5,9,Vojenské námořnictvo a loďstvo
3,5,,Veřejná správa
3,6,4,Sociální problémy vyžadující podporu a pomoc. Sociální zabezpečení
3,6,5,Požadavky na bydlení a jejich uspokojování
3,6,6,Ochrana spotřebitele. Chování spotřebitele
3,6,8,Pojišťovnictví
3,6,,Zajištění duševních a materiálních potřeb
3,7,4,Výchova a vzdělávání dospělých. Mimoškolní výchova a vzdělávání
3,7,6,Výchova a vzdělávání zvláštních skupin osob
3,7,7,Odborné vzdělávání
3,7,8,Vysoké školy
3,7,,Výchova a vzdělávání
3,9,3,Smrt. Pohřby. Obyčeje při úmrtí
3,9,4,Veřejný a společenský život. Každodenní život
3,9,5,Společenské chování. Etiketa
3,9,8,Folklor. Lidové tradice
3,9,,Kulturní antropologie. Etnologie. Etnografie
3,,,Společenské vědy
5,0,2,Životní prostředí a jeho ochrana
5,0,4,Znečištění a poškození životního prostředí
5,1,0,Obecné úvahy o matematice
5,1,1,Teorie čísel
5,1,2,Algebra
5,1,4,Geometrie
5,1,7,Matematická analýza
5,1,,Matematika
5,2,0,Astronomické přístroje a metody
5,2,1,Teoretická astronomie. Nebeská mechanika
5,2,8,Geodezie. Kartografie
5,2,,Astronomie
5,1,5,Topologie
5,1,9,Kombinatorika. Teorie grafů. Matematická statistika. Operační výzkum. Matematické modelování
3,5,2,"Stupně místní, oblastní a ústřední správy"
2,2,,Náboženství Dálného východu. Indická náboženství. Hinduismus. Buddhismus
2,7,1,"Křesťanské církve, sekty, denominace"
5,3,1,Obecná mechanika. Mechanika pevných a tuhých těles
5,3,2,Mechanika tekutin obecně. Mechanika kapalin
5,3,3,Mechanika plynů. Aeromechanika. Fyzika plazmatu
5,3,4,Mechanické kmity. Akustika
5,3,5,Optika
5,3,6,Teplo. Termodynamika
5,3,7,Elektřina
5,2,3,Sluneční soustava. Hvězdy. Vesmír
5,3,9,Fyzikální stavba hmoty. Jaderná fyzika. Molekulární fyzika
5,3,,Fyzika
5,4,2,Praktická laboratorní chemie. Preparativní a experimentální chemie
5,4,3,Analytická chemie
5,4,4,Fyzikální chemie
5,4,6,Anorganická chemie
5,4,7,Organická chemie
5,4,8,Krystalografie
5,4,9,Mineralogie
5,4,,Chemie. Mineralogické vědy
5,5,0,Geofyzika. Geochemie. Geobiologie. Užitá geologie
5,5,1,Geologie. Meteorologie. Klimatologie
5,5,2,Petrologie
5,5,3,Ložisková geologie
5,5,6,Hydrologie
5,5,,Vědy o Zemi. Geologické vědy
5,6,,Paleontologie
5,7,2,Fyzická antropologie
5,7,4,Obecná ekologie
5,7,5,Obecná genetika. Obecná cytogenetika. Evoluce
5,7,6,Buněčná biologie. Cytologie
