year,language,conspect1,conspect2,conspect3,genre_1,genre_1_count,genre_2,genre_2_count,genre_3,genre_3_count,genre_4,genre_4_count,genre_5,genre_5_count
1995,all,0,0,3,učebnice středních škol,2,učebnice,2,přehledy,2,informační publikace,2,učebnice vysokých škol,1
1995,all,0,0,4,příručky,101,učebnice vysokých škol,51,sborníky konferencí,9,praktická cvičení,3,referáty,3
1995,all,0,0,5,příručky,28,učebnice vysokých škol,14,učebnice,3,studie,2,sborníky,2
1995,all,0,0,6,seznamy,2,právní předpisy,1,populárně-naučné publikace,1,,0,,0
1995,all,0,0,7,učebnice vysokých škol,7,příručky,2,sborníky konferencí,2,sborníky,1,,0
1995,all,0,0,,příručky,134,učebnice vysokých škol,76,populárně-naučné publikace,17,sborníky konferencí,12,studie,6
1995,all,0,1,,bibliografie,2,soupisy,2,katalogy,1,bibliografie bibliografií,1,odborné bibliografie,1
1995,all,0,2,3,personální bibliografie,1,,0,,0,,0,,0
1995,all,0,2,5,příručky,3,sborníky konferencí,3,studie,2,,0,,0
1995,all,0,2,6,přehledy,1,příručky,1,,0,,0,,0
1995,all,0,2,7,přehledy,2,webové dokumenty,2,sborníky konferencí,1,sborníky,1,dokumenty,1
1995,all,0,2,8,příručky,1,,0,,0,,0,,0
1995,all,0,2,,sborníky konferencí,5,příručky,5,přehledy,4,studie,2,webové dokumenty,2
1995,all,0,3,0,encyklopedie,2,publikace pro děti,1,,0,,0,,0
1995,all,0,3,,encyklopedie,2,publikace pro děti,1,,0,,0,,0
1995,all,0,5,0,katalogy,2,bibliografie,1,studie,1,přehledy,1,ceníky,1
1995,all,0,5,,katalogy,2,bibliografie,1,studie,1,přehledy,1,ceníky,1
1995,all,0,6,1,informační publikace,1,právní předpisy,1,příručky,1,brožury,1,zprávy,1
1995,all,0,6,9,učebnice vysokých škol,2,sborníky konferencí,2,sborníky,2,učebnice,1,monografie,1
1995,all,0,6,,učebnice vysokých škol,2,sborníky konferencí,2,sborníky,2,informační publikace,1,právní předpisy,1
1995,all,0,7,0,sborníky,3,texty,2,články,1,faksimile,1,deníky,1
1995,all,0,7,,sborníky,3,texty,2,články,1,faksimile,1,deníky,1
1995,all,0,9,0,publikace pro děti,7,publikace pro mládež,3,obrazové publikace,3,populárně-naučné publikace,1,brožury,1
1995,all,0,9,,katalogy,14,publikace pro děti,7,obrazové publikace,4,publikace pro mládež,3,brožury,2
1995,all,0,,,příručky,141,učebnice vysokých škol,79,sborníky konferencí,20,katalogy,20,populárně-naučné publikace,18
1995,all,1,0,1,studie,5,eseje,5,učebnice vysokých škol,4,sborníky,2,antologie,2
1995,all,1,0,,studie,5,eseje,5,učebnice vysokých škol,4,sborníky,2,antologie,2
1995,all,1,1,,studie,2,pojednání,2,přednášky,1,sborníky konferencí,1,,0
1995,all,1,2,2,pojednání,2,úvahy,1,komentovaná vydání,1,eseje,1,,0
1995,all,1,2,,pojednání,2,úvahy,1,komentovaná vydání,1,eseje,1,,0
1995,all,1,3,3,příručky,34,pojednání,8,studie,6,populárně-naučné publikace,3,tabulky,3
1995,all,1,3,,příručky,38,pojednání,15,studie,6,populárně-naučné publikace,3,tabulky,3
1995,all,1,4,1,pojednání,2,studie,2,komentovaná vydání,1,příručky,1,komentáře,1
1995,all,1,4,3,studie,4,citáty,1,pojednání,1,dialogy,1,poezie,1
1995,all,1,4,,studie,13,pojednání,5,přehledy,3,sborníky,3,eseje,2
1995,all,1,5,9,příručky,20,populárně-naučné publikace,12,učebnice vysokých škol,10,studie,10,učebnice středních škol,5
1995,all,1,5,,příručky,20,populárně-naučné publikace,12,učebnice vysokých škol,10,studie,10,učebnice středních škol,5
1995,all,1,6,5,pojednání,2,sborníky konferencí,2,přednášky,1,příručky,1,eseje,1
1995,all,1,6,,učebnice vysokých škol,3,studie,3,příručky,2,pojednání,2,sborníky konferencí,2
1995,all,1,7,,aforismy,21,sborníky,18,úvahy,13,citáty,9,pojednání,5
1995,all,1,,,příručky,62,studie,39,pojednání,37,sborníky,29,úvahy,24
1995,all,2,1,,pojednání,3,studie,2,úvahy,1,sborníky,1,výklady,1
1995,all,2,2,2,pojednání,21,příručky,7,studie,5,příběhy,5,texty,4
1995,all,2,2,3,úvahy,8,výklady,8,texty,5,komentovaná vydání,4,pojednání,4
1995,all,2,2,,pojednání,25,výklady,10,úvahy,9,příručky,9,texty,9
1995,all,2,5,,sborníky,2,populárně-naučné publikace,1,pojednání,1,přehledy,1,,0
1995,all,2,6,,pojednání,2,studie,2,katalogy výstav,1,monografie,1,,0
1995,all,2,7,1,úvahy,5,studie,4,biografie,4,pojednání,3,encykliky,3
1995,all,2,7,4,úvahy,12,pojednání,7,kázání,5,papežské listy,4,příběhy,4
1995,all,2,7,5,úvahy,28,pojednání,12,sborníky,4,informační publikace,3,obrazové publikace,3
1995,all,2,7,7,biografie,4,informační publikace,2,sborníky,2,korespondence,2,deníky,1
1995,all,2,7,9,pojednání,2,sborníky konferencí,1,příručky,1,úvahy,1,studie,1
1995,all,2,7,,úvahy,65,pojednání,35,sborníky,25,biografie,18,studie,17
1995,all,2,9,,pojednání,1,monografie,1,,0,,0,,0
1995,all,2,,,úvahy,77,pojednání,68,sborníky,31,studie,28,příručky,24
1995,all,3,0,4,učebnice vysokých škol,1,,0,,0,,0,,0
